# mu sigma alow ahigh nlow nhigh logL logPrior
5.690752516450348594e+03 3.480316176843101061e+01 5.316426320750700096e-01 1.943406859381799023e+00 2.748775028727316272e+00 2.839979948529849363e+00 -inf 0.000000000000000000e+00
5.548445871009496841e+03 1.914947954826584819e+01 4.347951458480155962e-01 1.652886047127992697e+00 2.711762439213958764e+00 2.774186944147736256e+00 -inf 0.000000000000000000e+00
5.590824361736803439e+03 3.347135866130939519e+01 9.616775498130061273e-01 1.225561436510352209e+00 2.441324178266000899e+00 2.176534204302779774e+00 -inf 0.000000000000000000e+00
5.662582179864357386e+03 3.020699208098560007e+01 6.757690247267458261e-01 1.749476644894664146e+00 2.926852649944168050e+00 2.174110045105800637e+00 -inf 0.000000000000000000e+00
5.663800107776548430e+03 1.546832634204223211e+01 9.655747464597299601e-01 1.167107714988011580e+00 2.692800714516417671e+00 2.112532867456312413e+00 -inf 0.000000000000000000e+00
5.574053890439501629e+03 1.624193340389701135e+01 5.644132214546424553e-01 1.416461819241234821e+00 2.167261879295764526e+00 2.928783254499163213e+00 -inf 0.000000000000000000e+00
5.599332109964915617e+03 2.979165194334581912e+01 7.457917858714624426e-01 1.684181770228562192e+00 2.614174603341709702e+00 2.314159073580743353e+00 -inf 0.000000000000000000e+00
5.616012275547514037e+03 2.364780146919274628e+01 5.386936317010949660e-01 1.492363104196717138e+00 2.167591162240242397e+00 2.951280031708805929e+00 -inf 0.000000000000000000e+00
5.691626760104811183e+03 2.427567364909369729e+01 9.730484744397476238e-01 1.178255703171066537e+00 2.477859853220738540e+00 2.360045387079578116e+00 -inf 0.000000000000000000e+00
5.556621215025120364e+03 1.465800724818770640e+01 8.405338465532435910e-01 1.854969829925732450e+00 2.100368063170451549e+00 2.344246378303635581e+00 -inf 0.000000000000000000e+00
5.649758015078497920e+03 1.818045867629026446e+01 4.520624644147054338e-01 1.167916250126148858e+00 2.669382671123550210e+00 2.268343674789082609e+00 -inf 0.000000000000000000e+00
5.670893382190629382e+03 1.754163640386816780e+01 4.468342866107090083e-01 1.892385912385621483e+00 2.140184760597846569e+00 2.309624092850046218e+00 -inf 0.000000000000000000e+00
5.635380267311707030e+03 1.918868907255112788e+01 9.690043788051884155e-01 1.096797447828371963e+00 2.226507957130086979e+00 2.730535130257683019e+00 -inf 0.000000000000000000e+00
5.600480520932708714e+03 1.305305243933748471e+01 8.255287628105024700e-01 1.667136155359396188e+00 2.965748332491244810e+00 2.479170195499079465e+00 -inf 0.000000000000000000e+00
5.591666013075743649e+03 1.934757339153672717e+01 2.296318087240588612e-01 1.004573864985602860e+00 2.976959639265538193e+00 2.478293353291680656e+00 -inf 0.000000000000000000e+00
5.546977481798260669e+03 1.021120867715823977e+01 2.215780471342071456e-01 1.422890672007448565e+00 2.382378372941028832e+00 2.562621621279805417e+00 -inf 0.000000000000000000e+00
5.623648776618209013e+03 2.136354252042896462e+01 1.636425227602157917e-01 1.925687978357185859e+00 2.886221519504553967e+00 2.592128307468263504e+00 -inf 0.000000000000000000e+00
5.520504254061228494e+03 2.913078442422770920e+01 8.511567201412689743e-01 1.313100689028072310e+00 2.334770597373622802e+00 2.223206397539092993e+00 -inf 0.000000000000000000e+00
5.595228597736954725e+03 1.090591902654007761e+01 2.244022461449065031e-01 1.024712713014540810e+00 2.909099501464550208e+00 2.558318738647943569e+00 -inf 0.000000000000000000e+00
5.644945297678736097e+03 3.109235208626097346e+01 1.650243947780698495e-01 1.924324689134614630e+00 2.832313198929506282e+00 2.941840940813699845e+00 -inf 0.000000000000000000e+00
5.511488953038166073e+03 2.599114872243843166e+01 9.160341804077901662e-01 1.616760554891613744e+00 2.148890045224300049e+00 2.293014014052952021e+00 -inf 0.000000000000000000e+00
5.621324152572783532e+03 1.605756376101596672e+01 4.146208216656113166e-01 1.721996177881576440e+00 2.616968715678364532e+00 2.649487941627887366e+00 -inf 0.000000000000000000e+00
5.550688432630414354e+03 2.333659319452861780e+01 5.461677472667906263e-01 1.419400290968384049e+00 2.177246282825548551e+00 2.983698549834852720e+00 -inf 0.000000000000000000e+00
5.548114420594597505e+03 1.890125337431308594e+01 1.871558930548928856e-01 1.147438217582663622e+00 2.030340681278155923e+00 2.164340602628211485e+00 -inf 0.000000000000000000e+00
5.582824956396993002e+03 1.757615090556384274e+01 7.314474631513417924e-01 1.957008263781522039e+00 2.189713454177292462e+00 2.558133194832610258e+00 -inf 0.000000000000000000e+00
5.575253086333651481e+03 1.207449727291939290e+01 6.287707287337107598e-01 1.747663991953836371e+00 2.817742571721518985e+00 2.768655821424026442e+00 -inf 0.000000000000000000e+00
5.514971933162512869e+03 3.055752024276547019e+01 9.799408740315390665e-01 1.950834260163493372e+00 2.025478947174657929e+00 2.639958261128955375e+00 -inf 0.000000000000000000e+00
5.694056910569958745e+03 1.999618890106052405e+01 5.936299687289097182e-01 1.812708561105518701e+00 2.032719910674659403e+00 2.916041566512177496e+00 -inf 0.000000000000000000e+00
5.506658270558045842e+03 3.127693735622377247e+01 1.969947779434506052e-01 1.489724385613675484e+00 2.162836191213216352e+00 2.443060848214886782e+00 -inf 0.000000000000000000e+00
5.511651842833569390e+03 2.766629247874250908e+01 7.953186779308458743e-01 1.525124742270013822e+00 2.112457347219073522e+00 2.246398176508468847e+00 -inf 0.000000000000000000e+00
5.500967832194423863e+03 1.028107774186818801e+01 2.875235029917793117e-01 1.737066596324285506e+00 2.455621602573746287e+00 2.106257023986930932e+00 -inf 0.000000000000000000e+00
5.514195909163631768e+03 3.052636887340810290e+01 8.094891106056782970e-01 1.065240158100908108e+00 2.751985563720568351e+00 2.880745145375667615e+00 -inf 0.000000000000000000e+00
5.560863745129492600e+03 1.829864828225854367e+01 5.044982277831416839e-01 1.916211616600270062e+00 2.995268306860826346e+00 2.153814713130881131e+00 -inf 0.000000000000000000e+00
5.569936929362283990e+03 1.955434868890009170e+01 5.360587241731562536e-01 1.749406166861532164e+00 2.662842667204625258e+00 2.129202268461495073e+00 -inf 0.000000000000000000e+00
5.583846156789662018e+03 1.586084474232452024e+01 5.811717668299470896e-01 1.529863699953029288e+00 2.658416580941843854e+00 2.718452777936599674e+00 -inf 0.000000000000000000e+00
5.668083441710650732e+03 1.630650443968763952e+01 1.241414450800592956e-01 1.620207424444734645e+00 2.741762909984841734e+00 2.734665131507737712e+00 -inf 0.000000000000000000e+00
