Frequency,Error,Mass
2954.0,54.35071296680477,4518.615
2810.0,53.009433122794285,4549.344999999999
2819.0,53.094255809833136,4580.075000000001
2746.0,52.40229002629561,4610.805
2617.0,51.15662224971465,4641.535
2585.0,50.84289527554464,4672.264999999999
2557.0,50.566787519082126,4702.995
2492.0,49.91993589739474,4733.725
2419.0,49.18333050943175,4764.455
2346.0,48.43552415324934,4795.1849999999995
2199.0,46.89349635077342,4825.915
2159.0,46.46504062195577,4856.645
2113.0,45.967379738244816,4887.375
2043.0,45.19955751995809,4918.105
2017.0,44.91102314577124,4948.835
1933.0,43.965895873961216,4979.5650000000005
1900.0,43.58898943540674,5010.295
1763.0,41.98809355043403,5041.025
1717.0,41.43669871020132,5071.755
1774.0,42.118879377305376,5102.485000000001
1584.0,39.7994974842648,5133.215
1537.0,39.20459156782532,5163.945
1100.0,33.166247903554,5194.674999999999
479.0,21.88606862823929,5809.275
622.0,24.939927826679853,5840.004999999999
570.0,23.874672772626646,5870.735000000001
514.0,22.67156809750927,5901.465
529.0,23.0,5932.195
437.0,20.904544960366874,5962.924999999999
455.0,21.330729007701542,5993.655000000001
418.0,20.445048300260872,6024.385
381.0,19.519221295943137,6055.115
404.0,20.09975124224178,6085.844999999999
389.0,19.72308292331602,6116.575000000001
338.0,18.384776310850235,6147.305
320.0,17.88854381999832,6178.035
341.0,18.466185312619388,6208.764999999999
291.0,17.05872210923198,6239.495000000001
313.0,17.69180601295413,6270.225
273.0,16.522711641858304,6300.955
287.0,16.941074346097416,6331.6849999999995
295.0,17.175564037317667,6362.415000000001
279.0,16.703293088490067,6393.145
223.0,14.933184523068078,6423.875
247.0,15.716233645501712,6454.605
222.0,14.89966442575134,6485.335
