Frequency,Error,Mass
0.0007194788588503521,1.876546669716254e-05,4510.9325
0.0007263310384584508,1.885461430914776e-05,4526.2975
0.0006842390780086618,1.830013477193818e-05,4541.6625
0.000691091257616801,1.8391538082920198e-05,4557.0275
0.0006994117614266349,1.8501920767685382e-05,4572.3925
0.0006803235468040343,1.8247698747905152e-05,4587.7575
0.0006901123748156439,1.8378508298724992e-05,4603.1225
0.0006538937111728371,1.7889735990949884e-05,4618.4875
0.000657809242377465,1.794321813116837e-05,4633.8525
0.0006230589029363934,1.746284118052025e-05,4649.2175
0.000636763262152553,1.7653846687475226e-05,4664.5825
0.0006284427583427566,1.7538127147066656e-05,4679.9475
0.0006318688481468059,1.758586858869581e-05,4695.3125
0.0006196328131323441,1.7414762470498197e-05,4710.6775
0.000640189351956602,1.7701276029063032e-05,4726.0425
0.0005794986182849095,1.684133650773165e-05,4741.4075
0.0005985868329074699,1.7116459267794354e-05,4756.7725
0.0005853719150918513,1.6926465962564584e-05,4772.1375
0.0006034812469132547,1.7186294152959953e-05,4787.5025
0.0005447482788438059,1.632857497027954e-05,4802.8675
0.0005388749820368964,1.6240311756393006e-05,4818.2325
0.0005374066578351611,1.6218170898440933e-05,4833.5975
0.0005119557050050502,1.5829476216597474e-05,4848.9625
0.0005447482788438381,1.632857497027954e-05,4864.3275
0.0005178290018120221,1.5920017333753997e-05,4879.6925
0.0005163606776102868,1.589743039781043e-05,4895.0575
0.0004918886075813633,1.5516141563649653e-05,4910.4225
0.0005080401738004227,1.576882665942598e-05,4925.7875
0.0005099979394027667,1.579918054056679e-05,4941.1525
0.00047720536556400915,1.5282802834729297e-05,4956.5175
0.0004723109515581964,1.5204227492352505e-05,4971.8825
0.00047377927575995986,1.522784266706904e-05,4987.2475
0.0004688848617541751,1.5148982257795612e-05,5002.6125
0.0004610537993449196,1.5021944524375092e-05,5017.9775
0.00044832832292987935,1.4813184745145023e-05,5033.3425
0.0004145568662899403,1.4244342499967569e-05,5048.7075
0.00041798295609401414,1.4303082305873229e-05,5064.0725
0.00042238792869922037,1.4378252307216818e-05,5079.4375
0.0004380500535177055,1.464239842775741e-05,5094.8025
0.0004302189911084759,1.4510926419894398e-05,5110.1675000000005
0.00039693697586913986,1.393834241977053e-05,5125.5325
0.000378338202647158,1.360787932765302e-05,5140.8975
0.0003729543472407948,1.3510710494469342e-05,5156.2625
0.00037931708544831493,1.3625471939172118e-05,5171.6275
0.0004018313898749008,1.4024012202532367e-05,5186.9925
0.00013655415076139338,8.175283163503273e-06,5202.3575
9.152554190817406e-05,6.693010490073974e-06,5801.5925
0.00014291688896891352,8.363578319311826e-06,5816.9574999999995
0.00014976906857700322,8.561727786356318e-06,5832.3225
0.0001546634825827968,8.700500648449377e-06,5847.6875
0.0001409591233665913,8.306096000219477e-06,5863.0525
0.0001380224749631288,8.21911877619862e-06,5878.4175000000005
0.00012236035014461771,7.738748035054108e-06,5893.7825
0.00012921252975271633,7.952481470236622e-06,5909.1475
0.00013851191636370726,8.233678785443413e-06,5924.5125
0.00012040258454230385,7.67658840968128e-06,5939.8775
0.00010718766672667878,7.2430712910648026e-06,5955.2425
0.00010669822532610665,7.226515677893941e-06,5970.6075
0.00011257152213304164,7.422746355497372e-06,5985.9725
0.00011012431513015596,7.341621008677064e-06,6001.337500000001
0.00010033548711858654,7.0077343944419105e-06,6016.7025
0.0001042510183232143,7.143162074308958e-06,6032.0675
9.837772151627266e-05,6.939029456966101e-06,6047.4325
8.809945210412477e-05,6.566545456176996e-06,6062.7975
0.00010522990112436502,7.17661969098588e-06,6078.1625
9.2504424709331e-05,6.728706799188139e-06,6093.5275
0.00010522990112437124,7.17661969098588e-06,6108.8925
8.51628037006489e-05,6.456175487115995e-06,6124.2575
7.928950689371229e-05,6.229572000164608e-06,6139.6225
8.614168650181088e-05,6.493173930339298e-06,6154.9875
7.341621008677064e-05,5.994408452051986e-06,6170.3525
8.320503809834005e-05,6.381535111713842e-06,6185.7175
8.369447949891852e-05,6.4002768117196945e-06,6201.0824999999995
8.320503809833512e-05,6.381535111713842e-06,6216.4475
7.439509288792757e-05,6.034238846717348e-06,6231.8125
6.803235468040343e-05,5.7704290099982964e-06,6247.1775
8.271559669776158e-05,6.3627382075201226e-06,6262.5425000000005
7.04795616832998e-05,5.873296806941651e-06,6277.9075
6.558514767751509e-05,5.6656938265695975e-06,6293.2725
6.803235468040746e-05,5.7704290099982964e-06,6308.6375
6.558514767751509e-05,5.6656938265695975e-06,6324.0025
7.488453428850161e-05,6.054055776405841e-06,6339.3675
7.537397568908452e-05,6.073808050015505e-06,6354.7325
6.901123748156032e-05,5.811794622027722e-06,6370.0975
7.243732728561369e-05,5.954311624430808e-06,6385.462500000001
6.411682347577969e-05,5.601912877100839e-06,6400.8275
5.5796319665945684e-05,5.225804133760137e-06,6416.1925
5.3349112663053325e-05,5.109918240189707e-06,6431.5575
6.509570627693663e-05,5.64451358859456e-06,6446.9225
5.579631966594238e-05,5.225804133760137e-06,6462.2875
6.020129227115192e-05,5.428167720863688e-06,6477.6525
4.845469865726862e-05,4.869880447754473e-06,6493.0175
