Frequency,Error,Mass
1470.0,38.34057902536163,4510.9325
1484.0,38.52272056851645,4526.2975
1398.0,37.389838191679836,4541.6625
1412.0,37.57658845611187,4557.0275
1429.0,37.8021163428716,4572.3925
1390.0,37.282703764614496,4587.7575
1410.0,37.54996671103717,4603.1225
1336.0,36.55133376499413,4618.4875
1344.0,36.66060555964672,4633.8525
1273.0,35.679125549822544,4649.2175
1301.0,36.069377593742864,4664.5825
1284.0,35.832945734337834,4679.9475
1291.0,35.93048844644336,4695.3125
1266.0,35.58089374931439,4710.6775
1308.0,36.16628264005025,4726.0425
1184.0,34.40930106817051,4741.4075
1223.0,34.97141690009142,4756.7725
1196.0,34.583232931581165,4772.1375
1233.0,35.11409973215888,4787.5025
1113.0,33.36165463522455,4802.8675
1101.0,33.18132004607411,4818.2325
1098.0,33.13608305156178,4833.5975
1046.0,32.341923257592455,4848.9625
1113.0,33.36165463522455,4864.3275
1058.0,32.526911934581186,4879.6925
1055.0,32.48076353782343,4895.0575
1005.0,31.701734968294716,4910.4225
1038.0,32.218007387174026,4925.7875
1042.0,32.28002478313795,4941.1525
975.0,31.22498999199199,4956.5175
965.0,31.064449134018133,4971.8825
968.0,31.11269837220809,4987.2475
958.0,30.95157508108432,5002.6125
942.0,30.692018506445613,5017.9775
916.0,30.265491900843113,5033.3425
847.0,29.103264421710495,5048.7075
854.0,29.223278392404914,5064.0725
863.0,29.376861643136763,5079.4375
895.0,29.916550603303182,5094.8025
879.0,29.647934160747187,5110.1675000000005
811.0,28.478061731796284,5125.5325
773.0,27.80287754891569,5140.8975
762.0,27.60434748368452,5156.2625
775.0,27.83882181415011,5171.6275
821.0,28.653097563788805,5186.9925
279.0,16.703293088490067,5202.3575
187.0,13.674794331177344,5801.5925
292.0,17.08800749063506,5816.9574999999995
306.0,17.4928556845359,5832.3225
316.0,17.776388834631177,5847.6875
288.0,16.97056274847714,5863.0525
282.0,16.792855623746664,5878.4175000000005
250.0,15.811388300841896,5893.7825
264.0,16.24807680927192,5909.1475
283.0,16.822603841260722,5924.5125
246.0,15.684387141358123,5939.8775
219.0,14.798648586948742,5955.2425
218.0,14.7648230602334,5970.6075
230.0,15.165750888103101,5985.9725
225.0,15.0,6001.337500000001
205.0,14.317821063276353,6016.7025
213.0,14.594519519326424,6032.0675
201.0,14.177446878757825,6047.4325
180.0,13.416407864998739,6062.7975
215.0,14.66287829861518,6078.1625
189.0,13.74772708486752,6093.5275
215.0,14.66287829861518,6108.8925
174.0,13.19090595827292,6124.2575
162.0,12.727922061357855,6139.6225
176.0,13.2664991614216,6154.9875
150.0,12.24744871391589,6170.3525
170.0,13.038404810405298,6185.7175
171.0,13.076696830622021,6201.0824999999995
170.0,13.038404810405298,6216.4475
152.0,12.328828005937952,6231.8125
139.0,11.789826122551595,6247.1775
169.0,13.0,6262.5425000000005
144.0,12.0,6277.9075
134.0,11.575836902790225,6293.2725
139.0,11.789826122551595,6308.6375
134.0,11.575836902790225,6324.0025
153.0,12.36931687685298,6339.3675
154.0,12.409673645990857,6354.7325
141.0,11.874342087037917,6370.0975
148.0,12.165525060596439,6385.462500000001
131.0,11.445523142259598,6400.8275
114.0,10.677078252031311,6416.1925
109.0,10.44030650891055,6431.5575
133.0,11.532562594670797,6446.9225
114.0,10.677078252031311,6462.2875
123.0,11.090536506409418,6477.6525
99.0,9.9498743710662,6493.0175
