Frequency,Error,Mass
996.0,31.559467676119,4508.371666666667
989.0,31.448370387032774,4518.615
969.0,31.12876483254676,4528.858333333334
941.0,30.675723300355934,4539.1016666666665
960.0,30.983866769659336,4549.345
909.0,30.14962686336267,4559.588333333333
913.0,30.215889859476256,4569.831666666667
952.0,30.854497241083024,4580.075
954.0,30.886890422961002,4590.318333333334
919.0,30.315012782448235,4600.5616666666665
939.0,30.643106892089126,4610.805
888.0,29.79932885150268,4621.048333333333
898.0,29.966648127543394,4631.291666666667
884.0,29.732137494637012,4641.535
835.0,28.89636655359978,4651.778333333334
870.0,29.49576240750525,4662.0216666666665
843.0,29.03446228191595,4672.265
872.0,29.5296461204668,4682.508333333333
876.0,29.597297173897484,4692.751666666667
830.0,28.809720581775867,4702.995
851.0,29.171904291629644,4713.238333333334
876.0,29.597297173897484,4723.481666666667
828.0,28.77498913987632,4733.725
788.0,28.071337695236398,4743.968333333333
837.0,28.930952282978865,4754.211666666667
808.0,28.42534080710379,4764.455
774.0,27.820855486487112,4774.698333333334
821.0,28.653097563788805,4784.941666666667
810.0,28.460498941515414,4795.185
715.0,26.739483914241877,4805.428333333333
747.0,27.331300737432898,4815.671666666667
739.0,27.184554438136374,4825.915
713.0,26.70205984563738,4836.158333333333
694.0,26.343879744638983,4846.401666666667
710.0,26.645825188948457,4856.645
755.0,27.477263328068172,4866.888333333333
695.0,26.362852652928137,4877.131666666666
690.0,26.267851073127396,4887.375
728.0,26.981475126464083,4897.618333333334
664.0,25.768197453450252,4907.861666666667
692.0,26.30589287593181,4918.105
687.0,26.210684844162312,4928.348333333333
716.0,26.758176320519304,4938.591666666667
672.0,25.92296279363144,4948.835
629.0,25.079872407968907,4959.078333333333
636.0,25.219040425836983,4969.321666666667
661.0,25.709920264364882,4979.5650000000005
636.0,25.219040425836983,4989.808333333333
618.0,24.859605789312106,5000.051666666666
665.0,25.787593916455254,5010.295
617.0,24.839484696748443,5020.538333333334
619.0,24.879710609249457,5030.781666666667
579.0,24.06241883103193,5041.025
565.0,23.769728648009426,5051.268333333333
577.0,24.020824298928627,5061.511666666667
581.0,24.1039415863879,5071.755
559.0,23.643180835073778,5081.998333333333
619.0,24.879710609249457,5092.241666666667
565.0,23.769728648009426,5102.485000000001
590.0,24.289915602982237,5112.7283333333335
534.0,23.108440016582687,5122.971666666666
536.0,23.15167380558045,5133.215
514.0,22.67156809750927,5143.458333333334
510.0,22.58317958127243,5153.701666666667
501.0,22.38302928559939,5163.945
526.0,22.93468988235943,5174.1883333333335
559.0,23.643180835073778,5184.431666666667
530.0,23.021728866442675,5194.675
11.0,3.3166247903554,5204.918333333333
81.0,9.0,5799.031666666667
198.0,14.071247279470288,5809.275000000001
200.0,14.142135623730951,5819.518333333333
209.0,14.45683229480096,5829.761666666667
205.0,14.317821063276353,5840.005
208.0,14.422205101855956,5850.248333333334
201.0,14.177446878757825,5860.491666666667
192.0,13.856406460551018,5870.735000000001
177.0,13.30413469565007,5880.9783333333335
184.0,13.564659966250536,5891.221666666667
151.0,12.288205727444508,5901.465
179.0,13.379088160259652,5911.708333333334
187.0,13.674794331177344,5921.951666666667
169.0,13.0,5932.195
173.0,13.152946437965905,5942.4383333333335
139.0,11.789826122551595,5952.681666666666
154.0,12.409673645990857,5962.925
144.0,12.0,5973.168333333333
159.0,12.609520212918492,5983.411666666667
139.0,11.789826122551595,5993.655
157.0,12.529964086141668,6003.8983333333335
128.0,11.313708498984761,6014.141666666666
150.0,12.24744871391589,6024.385
140.0,11.832159566199232,6034.628333333333
130.0,11.40175425099138,6044.871666666667
136.0,11.661903789690601,6055.115
115.0,10.723805294763608,6065.358333333334
155.0,12.449899597988733,6075.6016666666665
124.0,11.135528725660043,6085.845
125.0,11.180339887498949,6096.088333333333
155.0,12.449899597988733,6106.331666666667
116.0,10.770329614269007,6116.575
118.0,10.862780491200215,6126.818333333334
103.0,10.14889156509222,6137.0616666666665
110.0,10.488088481701515,6147.305
125.0,11.180339887498949,6157.548333333333
92.0,9.591663046625438,6167.791666666667
121.0,11.0,6178.035
107.0,10.344080432788601,6188.278333333334
102.0,10.099504938362077,6198.5216666666665
129.0,11.357816691600547,6208.765
110.0,10.488088481701515,6219.008333333333
101.0,10.04987562112089,6229.251666666667
107.0,10.344080432788601,6239.495
83.0,9.1104335791443,6249.738333333334
121.0,11.0,6259.981666666667
93.0,9.643650760992955,6270.225
99.0,9.9498743710662,6280.468333333333
89.0,9.433981132056603,6290.711666666667
86.0,9.273618495495704,6300.955
98.0,9.899494936611665,6311.198333333334
92.0,9.591663046625438,6321.441666666667
97.0,9.848857801796104,6331.685
98.0,9.899494936611665,6341.928333333333
104.0,10.198039027185569,6352.171666666667
93.0,9.643650760992955,6362.415
98.0,9.899494936611665,6372.658333333334
103.0,10.14889156509222,6382.901666666667
90.0,9.486832980505138,6393.145
86.0,9.273618495495704,6403.388333333333
64.0,8.0,6413.631666666667
89.0,9.433981132056603,6423.875
70.0,8.366600265340756,6434.118333333334
97.0,9.848857801796104,6444.361666666667
81.0,9.0,6454.6050000000005
69.0,8.306623862918075,6464.848333333333
73.0,8.54400374531753,6475.091666666667
83.0,9.1104335791443,6485.335
66.0,8.12403840463596,6495.578333333334
